ลำดับ (Item No.),รายละเอียดเครื่องมือ (Description),ช่วงการวัด (Range),ความสามารถการวัด (CMC / Uncertainty),ราคาค่าบริการ (Price),หมายเหตุ (Remark),รหัสบริการ (Code),ฝ่ายงานจริง (Actual Department),ราคาตัวเลข (Price Numeric),ฝ่ายงานที่ทำนาย (Predicted Department),รหัสกลุ่มคลัสเตอร์ (Cluster ID),คำสำคัญของกลุ่มคลัสเตอร์ (Cluster Keywords)
,"Gas Pressure Measuring Instruments (on-site)       -  (absolute pressure, Pabs)",10 kPa to 700 kPa ,2.0E-4Pabs but  not less than 0.03 kPa,"6,250 baht/range",,10060 - 30103,Mechanical  Metrology Department,6250.0,Mechanical  Metrology Department,2,"pressure, measuring, instruments, gas, pe"
,Pressure Measuring Device,0 to 3500 kPa," 0.01%rdg but  not less than 0.1 kPa
","6,500/range

",Media: Water,"10060-10901

",Mechanical  Metrology Department,6500.0,Mechanical  Metrology Department,2,"pressure, measuring, instruments, gas, pe"
,"Gas Pressure Measuring Instruments (gauge pressure, Pe)",,Smaller than 0.2 mbar,"11,250/range",,10061 - 10319,Mechanical  Metrology Department,11250.0,Mechanical  Metrology Department,2,"pressure, measuring, instruments, gas, pe"
,"Vacuum Gauges (absolute pressure : pirani gauge, thermal conductivity gauge)",105 Pa to 10-1 Pa,0.3% rdg to 1% rdg,"7,040/sensor head",Calibration 10 points minimum,10070 - 10101,Mechanical  Metrology Department,7040.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Vacuum Gauges (absolute pressure : capacitance diaphragm gauge),105 Pa to 10-1 Pa,0.2% rdg to 0.45% rdg,"12,670/sensor head","Calibration 3 decades for the head range (1000, 100,10, 1) torr Calibration 2 decades for the head range 0.1 torr",10070 - 10201,Mechanical  Metrology Department,12670.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Vacuum Gauges (absolute pressure : hot cathode ion gauge, cold cathode ion gauge)",10-1 Pa to 10-5 Pa,0.5% rdg to 6% rdg,"11,090/for first decade 
+2,250 for next decade",,10070 - 10301,Mechanical  Metrology Department,11090.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Vacuum Gauge (absolute pressure : spinning rotor gauge),10 Pa to 10-3 Pa,0.6% rdg to 4.5% rdg,to be determined,,10070 - 10401,Mechanical  Metrology Department,7880.0,Mechanical  Metrology Department,2,"pressure, measuring, instruments, gas, pe"
,Additional cost for electrical calibration (which the accuracy is not better than +/-0.01% rdg),,,"2,250/item",,10070 - 10501,Mechanical  Metrology Department,2250.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Adjustment charge of pressure and vacuum devices for permanent laboratory calibration,,,50% of the calibration cost of each range,,10070 - 10502,Mechanical  Metrology Department,50.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Measurement audit report,,,"1,000 Baht/report
+ 1,000 Bath/only for artifact provided
+ Calibration fee",,10070 - 10503,Mechanical  Metrology Department,1000.0,Electrical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
,"Vacuum Gauges by Static Expansion Method (absolute pressure : capacitance diaphragm gauge, spinning rotor gauge)",0.13 Pa to 1.3 kPa,0.50% rdg to 0.25% rdg,"26,400/sensor head",,10070 - 10601,Mechanical  Metrology Department,26400.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Liquid Flowmeter (Turbine Flowmeter),0.19 L/min to 150* L/min,0.075%**,"13,750/ 5 points",Calibration Fluid : Water,10080 - 10101,Mechanical  Metrology Department,13750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Liquid Flowmeter  (with indicator),0.19 L/min to 150* L/min,0.02,"7,880/ 5 points",Calibration Fluid : Water,10080 - 10102,Mechanical  Metrology Department,7880.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Coriolis Flowmeter (Volumetric method),0.2 L/min to 150 L/min,0.00075,"13,750/5 points",Calibration Fluid : Water,10080 - 10103,Mechanical  Metrology Department,13750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Inter-laboratory comparison on liquid volume flow rate measurement;
Artifact : Coriolis flow meter",25 L/min to 120 L/min,NIMT.MW-L1/2017,"20,333/range 
(N = 3)",Calibration Fluid : Water,10080 - 10105,Mechanical  Metrology Department,20333.0,Mechanical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
,"Inter-laboratory comparison on liquid volume flow rate measurement;
Artifact : Coriolis flow meter",25 L/min to 120 L/min,NIMT.MW-L1/2019,"15,750/range
(N = 2)",Calibration Fluid : Water,10080 - 10106,Mechanical  Metrology Department,15750.0,Mechanical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
,Inter-laboratory comparison on water flow meter and pressure of infusion pump analyzer,"(20 - 200) mL/h
((0 - 1200) mmHg","0.35%
0.35 mbar","12,552.50/range",Infusion device analyzer,10080 - 10107,Mechanical  Metrology Department,12552.5,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Liquid Flowmeter (Turbine Flowmeter),20 L/min to 1300 L/min,0.00075,"13,750",Calibration Fluid : Water,10080 - 10108,Mechanical  Metrology Department,13750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Ultrasonic flow meter (Clamp-on),20 L/min to 1300 L/min,0.01,"8,750",Calibration Fluid : Water,10080 - 10109,Mechanical  Metrology Department,8750.0,Mechanical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
,Gas Flowmeter,0.043 (mg/s) to 500 (mg/s),0.0023,"17,250/range",Calibration Fluid :  Nitrogen,10080 - 10201,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter with display in standard flow (molbloc-L),100 cm3/min to 24000 cm3/min,0.0025,"30,000/range","Calibration Gas: Dry Air 
Reference Conditions @ 0°C, 101.325 kPa",10080 - 10202,Mechanical  Metrology Department,30000.0,Mechanical  Metrology Department,4,"standard, solution, mass, set, ph"
,(Mass gas flow rate),0.043 (mg/s) to 21545 (mg/s),0.0023,"17,250/range",Calibration Fluid : Dry Air,10080 - 10202,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Gas Flow rate 
(Gas meter with impluse output)",1 m3/h to 100 m3/h,0.002,"30,000/piece 
(5 points)",Comparison Method,10080 - 10203,Mechanical  Metrology Department,30000.0,Mechanical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
,Gas Flowmeter with display in standard flow (molbloc-S),1 m3/h to 65 m3/h,0.0023,"30,000/range","Calibration Gas: Dry Air 
Reference Conditions @ 0°C, 101.325 kPa",10080 - 10204,Mechanical  Metrology Department,30000.0,Mechanical  Metrology Department,4,"standard, solution, mass, set, ph"
,Sonic Nozzle at ambient pressure,1 m3/h to 100 m3/h,0.0022,"25,000/range",Calibration Gas: Ambient Air ,10080 - 10205,Mechanical  Metrology Department,25000.0,Mechanical  Metrology Department,2,"pressure, measuring, instruments, gas, pe"
,"Orifice flow device
(Volumetric method)",(1 to 100) m3/h,0.01,"7,500/piece
(5-7 points)
",Comparison Method,10080 - 10208,Mechanical  Metrology Department,7500.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Small Water Flow Meter (Mass Mode),"10 g/h to 50 g/h
 50 g/h to 1000 g/h","0.35%
0.24%","16,875/range","Calibration Fluid : Water
Gravimetric Method",10080 - 10301,Mechanical  Metrology Department,16875.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Medium Liquid Flow Meter (Gravimetric Method),0.036 kg/min to 0.32 kg/min,0.003,"12,500/5 points","Calibration Fluid : Water
Gravimetric Method",10080 - 10302,Mechanical  Metrology Department,12500.0,Mechanical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
,"Gas Flow rate 
(Gas meter with flow rate output)",1.2 kg/h to 117 kg/h,0.002,"30,000/piece 
(5 points)",Comparison Method,10080 - 10403,Mechanical  Metrology Department,30000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",1 L to 10 L,0.02% to 0.03%,"6,250/piece",Gravimetric Method,10080 - 10501,Mechanical  Metrology Department,6250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",<10 L to 20 L,0.02% to 0.03%,"10,000/piece",Gravimetric Method,10080 - 10502,Mechanical  Metrology Department,10000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",> 2 L to 50 L,0.0009,"8,750 / piece",Gravimetric Method,10080 - 10503,Mechanical  Metrology Department,8750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Liquid Volume 
(Proving tank: Neck scale type, Weir neck type)",> 50 L to 200 L,0.0009,"13,750/piece",Gravimetric Method,10080 - 10504,Mechanical  Metrology Department,13750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Flow speed device,(0.1-40) m/s,0.005,"12,500/5 points+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080 - 10701,Mechanical  Metrology Department,12500.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Small Water Flow Meter (Volumetric Mode),"10 mL/h to 50 mL/h
 50 mL/h to 1000 mL/h","0.35%
0.24%","16,875/range","Calibration Fluid : Water
Gravimetric Method",10080-10104,Mechanical  Metrology Department,16875.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(1 to 20) L,0.15%,"6,250",/ piece / range,10080-10505,Mechanical  Metrology Department,6250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>20 to 50) L,0.15%,"10,000",/ piece / range,10080-10506,Mechanical  Metrology Department,10000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>50 to 100) L,0.15%,"5,000",/ piece / range,10080-10507,Mechanical  Metrology Department,5000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>100 to 500) L,0.15%,"6,875",/ piece / range,10080-10508,Mechanical  Metrology Department,6875.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>500 to 1000) L,0.15%,"10,000",/ piece / range,10080-10509,Mechanical  Metrology Department,10000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>1000 to 2000) L,0.15%,"13,750",/ piece / range,10080-10510,Mechanical  Metrology Department,13750.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>2000 to 3000) L,0.15%,"16,250",/ piece / range,10080-10511,Mechanical  Metrology Department,16250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Volume of Liquid,(>3000 to 4000) L,0.15%,21250,/ piece / range,10080-10512,Mechanical  Metrology Department,21250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Ultrasonic Thickness Measurement 
(Thickness calibration block)",(2.54 - 12.70) mm and 100 mm,0.3% of reading,"2,500/5 points
+500/next point",Direct measurement by ultrasonic thickness system,10080-10601,Mechanical  Metrology Department,2500.0,Mechanical  Metrology Department,6,"measurement, detector, additional, frequency, irradance"
2520.0,Flaw Detector,"X-axis (25.25 to 170) mm
Y-axis (10 to 100) %dB",0.5% of reading,"10,000/5 points/1 probe+1500/next probe",Direct measurement by ultrasonic system,10080-10603,Mechanical  Metrology Department,10000.0,Chemical Metrology  Department,6,"measurement, detector, additional, frequency, irradance"
,Laser Doppler Anemometer,2 m/s to 20 m/s,0.004,"30,000/piece","Wind tunnel 
Calibration Fluid : Air",10080-10702,Mechanical  Metrology Department,30000.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Wind direction,0° to 360°,0.9°,"12,500/5 points
+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080-10703,Mechanical  Metrology Department,12500.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,"Air speed anemometers
(Cup and Vane anemometer)",(1-30) m/s,1% of reading,"12,500/15 points
+2,500/next point","Wind tunnel 
Calibration Fluid : Air",10080-10704,Mechanical  Metrology Department,12500.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Air speed anemometers,(0.1-40) m/s,0.008,"10,000/5 points","Wind tunnel 
Calibration Fluid : Air",10080-10705,Mechanical  Metrology Department,10000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
2522.0,Rain Gauge,(10 - 480) mm/h,0.01,"12,500/5 points
+2,500/next point",Calibration Fluid : WaterGravimetric Method,10080-10802,Mechanical  Metrology Department,12500.0,Dimensional Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range","0 degree C, 101.325 kPa",10081 - 10101,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range",Reference Conditions @,10081 - 10101,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 24000 (cm3/min),0.0023,"17,250/range",Calibration Fluid :  Nitrogen,10081 - 10101,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range","0 degree C, 101.325 kPa",10081 - 10102,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range",Reference Conditions @,10081 - 10102,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
,Gas Flowmeter(Volume gas flow rate),2 (cm3/min) to 1 (m3/min),0.0023,"17,250/range",Calibration Fluid : Dry Air,10081 - 10102,Mechanical  Metrology Department,17250.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
2519.0,Diaphragm Gas Meter,(0.06 to 10) m3/h,0.01,"5,000 / 3 points (0.06, 2, 10) m3/h / 1 meter +1250/next point",Comparison Method,10081-10103,Mechanical  Metrology Department,5000.0,Mechanical  Metrology Department,7,"meter, power, phase, ac, wattmeter"
76.0,Fixed point cells,0.01 °C,0.12 mK,"25,000/point 
",Direct realization,11010 - 11111,Thermometry Metrology Department,25000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
77.0,Standard Platinum Resistance Thermometer (SPRT),-189.3442 oC ,1 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11321,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,4,"standard, solution, mass, set, ph"
78.0,Semi-Standard Platinum Resistance Thermometer or Platinum Resistance Thermometer,-189.3442 oC ,1 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11322,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
79.0,Standard Platinum Resistance Thermometer (SPRT),-189.3442 oC to 0.01 oC,1.0 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11323,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,4,"standard, solution, mass, set, ph"
80.0,Semi-Standard Platinum Resistance Thermometer or Platinum Resistance Thermometer,-189.3442 oC to 0.01 oC,1.0 mK,"10,000 / point","By ITS-90 Fixed Point Cells, Sheath for temperature above Zn. Minimum sheath length 450 mm",11010 - 11324,Thermometry Metrology Department,10000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
2517.0,Fixed point cells,419.527 oC,0.6 mK,"25,000/point",Direct realization,11010-1111,Thermometry Metrology Department,25000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
124.0,Calibration of Gallium cell:  model A,29.7646 °C,5 mK,"12,500 /point",Direct measurement with SPRT,11020 - 12111,Thermometry Metrology Department,12500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
125.0,Calibration of Gallium cell:  model B,29.76 °C,20 mK,"6,500 /point",Direct measurement with PRT,11020 - 12112,Thermometry Metrology Department,6500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
159.0,Standard Platinum Resistance Thermometer (SPRTs),-196oC,25 mK,"5,000 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12221,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,4,"standard, solution, mass, set, ph"
109.0,Standard Platinum Resistance Thermometer (SPRTs),-196oC,16 mK,"6,500 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12221,Thermometry Metrology Department,6500.0,Thermometry Metrology Department,4,"standard, solution, mass, set, ph"
110.0,Industrial Platinum Resistance Thermometers (IPRTs),-196oC,16 mK,"6,500 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12222,Thermometry Metrology Department,6500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
160.0,Industrial Platinum Resistance Thermometers (IPRTs),-196oC,25 mK,"5,000 first point
 +  1,500/next point
At least 6 points",By Comparison with SPRTs in stirred liquid bath Minimum sheath length 300 mm,11020 - 12222,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
112.0,"Noble-metal Thermocouples
(Type S, Type R, Type B)",231.928 °C,0.1 K,7500 bath/point,"By ITS-90 Fixed Point Cells
",11020 - 12311,Thermometry Metrology Department,7500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
114.0,"Noble-metal Thermocouples
(Type S, Type R, Type B, Au/Pt)",-40 °C to 0 °C,0.2 K,"4,000 first point  +  1,200/next point",By comparison with standard TC  or SPRT in comparison furnace  Minimum sheath length 450 mm,11020 - 12312,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
115.0,Base-metal Thermocouples,-196  °C,0.3 K,"4,000 first point",By comparison with standard TC,11020 - 12321,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
113.0,Pure-metal thermocouples,231.928 °C,0.05 K,"8,000 bath/point  for Sn, Zn, Al  and
10,000 bath for
Ag, Cu, Co-C",By ITS-90 Fixed Point Cells / Co-C fixed point cell  (At least 3 points),11020 - 12331,Thermometry Metrology Department,8000.0,Chemical Metrology  Department,0,"gauge, calibration, testing, machine, laser"
117.0,Liquid-in-glass Thermometer,-40 °C to 90 °C,15 mK,"4,000 first point+ 1,000/next point",By Comparison with  SPRTs in stirred liquid bath,11020 - 12411,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
118.0,Digital Thermometer with resistance probe,- 196 oC,15 mK,"5,000 first point","By Comparison with  SPRTs 
in stirred liquid bath/ Furnace/ LN2 comparator",11020 - 12711,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,5,"digital, dna, analog, plasmid, dial"
161.0,Digital Thermometer (with resistance probe),- 196 oC,40 mK,"4,000 first point
+ 1,500 / next point","By Comparison with  SPRTs 
in stirred liquid bath/ Furnace/ LN2 comparator",11020 - 12712,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,5,"digital, dna, analog, plasmid, dial"
122.0,Surface Thermomter,35 º C to 200  º C,0.5 K,"5,000 first point + 1,500/next point",Comparison with its reading with the temperature of reference surface heat source.,11020 - 12713,Thermometry Metrology Department,5000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
162.0,Digital Thermometer with thermocouple probe,- 196 °C,0.6 K,"4,000 first point+ 1,500/next point","By Comparison with  SPRTs /TC 
in stirred liquid bath /Furnace",11020 - 12714,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,5,"digital, dna, analog, plasmid, dial"
119.0,Digital Thermometer with thermocouple probe,- 196 oC,0.4 K,"5,000 first point+ 1,500/next point","By Comparison with  SPRTs /TC 
in stirred liquid bath /Furnace",11020 - 12714,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,5,"digital, dna, analog, plasmid, dial"
120.0,Temperature Bath,-80oC to 25oC ,20 mK,"4,000 first point +
1,000/next point",By Comparison with SPRTs ,11020 - 12861,Thermometry Metrology Department,4000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
121.0,Temperature block calibrator and Furnace,-40 °C to 660 °C,0.1 K,"5,000 first point + 3,500/next point",By Comparison with two SPRTs/TCs in measurement zone of temperature block calibrator,11020 - 12862,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
123.0,Surface calibrator,35 º C to 200  º C,0.4 K,"5,000 first point + 2,000/next point",Comparison with reference  standard temperature ,11020 - 12863,Thermometry Metrology Department,5000.0,Electrical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
116.0,"Fabrication of Standard Thermocouples Type R, Type S, Type B  with fixed point calibration  (wires not included)",0 °C to 1100 °C,0.3 K,"36,500",Electrical Annealing and re-fabrication thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020 - 22314,Thermometry Metrology Department,36500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
111.0,Thermistors,-80 º C to 100  º C,10 mK,"3,000 first point + 1,500/next point",Comparison with SPRTs in stirred liquid baths,11020-12231 ,Thermometry Metrology Department,3000.0,Mechanical  Metrology Department,0,"gauge, calibration, testing, machine, laser"
2515.0,Temperature transmitter,-50 oC to 200 oC,1.5 K,"5,000 first point
+ 1,500/next point",y Comparison with SPRTs in stirred liquid bath,11020-12621,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
152.0,Supply of Gallium Cell model A with Calibration,29.7646 °C,5 mK,"32,000","Ga cell suitable for IPRT, DTM calibration & verification",11020-22111,Thermometry Metrology Department,32000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
153.0,Supply of Gallium Cell model B with Calibration,29.76 °C,20 mK,"12,000","Ga cell suitable for DTM, IOT sensors calibration & verification",11020-22112,Thermometry Metrology Department,12000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
149.0,Supply of Thermocouple Type S  with fixed point calibration,0 °C to 1100 °C,0.3 K,"99,000",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22311,Thermometry Metrology Department,99000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
150.0,Supply of Thermocouple Type S  with fixed point calibration,0 °C to 1100 °C,0.3 K,"102,500",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22311,Thermometry Metrology Department,102500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
151.0,Supply of Thermocouple Type B  with fixed point calibration,0 °C to 1100 °C,0.3 K,"102,500",Supply of thermocouple with calibration certificate by ITS-90 Fixed Point Cells.,11020-22313,Thermometry Metrology Department,102500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
81.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1084.62 oC (ITS-90),0.14 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 0.65 µm standard radiation thermometer (ITS-90 or thermodynamic temperature),11030 - 11121,Thermometry Metrology Department,24000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
82.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1 084.62 oC (ITS-90),0.14 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 0.9 µm standard radiation thermometer (ITS-90 or thermodynamic temperature),11030 - 11122,Thermometry Metrology Department,24000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
83.0,"Fixed-point Blackbody
(Primary and Secondary Fixed-point Black body)",1 084.62 oC,0.19 K,"24,000 / point",Comparison to Standard Fixed-point Blackbody using 1.6 µm standard radiation thermometer,11030 - 11123,Thermometry Metrology Department,24000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
84.0,Optical Pyrometer/Standard radiation thermometer,156.5985 °C to 1084.60 °C,0.14 K to 0.40 K,"12,000/point",By Comparison with fixed pont blackbodies (ITS-90),11030 - 11411,Thermometry Metrology Department,12000.0,Thermometry Metrology Department,4,"standard, solution, mass, set, ph"
85.0,0.9  µm radiation thermometer,960 °C to 2000 °C,0.2 K to 1.1 K,"48,000/point",Direct realisation by measurement of,11030 - 11412,Thermometry Metrology Department,48000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
86.0,0.65  µm radiation thermometer,960 °C to 2500 °C,0.2 K to 1.4 K,"48,000/point",Direct realisation by measurement of,11030 - 11413,Thermometry Metrology Department,48000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
98.0,Variable temperature blackbody sources for infrared ear/forehead thermometers,22 º C to 42 ºC,44 mK,"7,500 first point + 2,500/next point",Comparison with standard liquid bath blackbodies through infrared ear thermometers,11030 - 12524,Thermometry Metrology Department,7500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
100.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,-40 °C to 15 °C,0.15 K to 0.30 K,"5,000 /point*",By Comparison with PRT or Transfer Standard Radiation Thermometer,11030 - 12541,Thermometry Metrology Department,5000.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
101.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,>15 °C to < 1100 °C,0.15 K to 3.0 K,"7,500 first point+2,000/next point",By Comparison with Transfer Standard Radiation Thermometer or PRT,11030 - 12542,Thermometry Metrology Department,7500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
103.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,1100 °C to 2500 °C,2 K to 5 K,"8,500 first point+ 3,000/next point",By Comparison with Transfer Standard Radiation Thermometer,11030 - 12543,Thermometry Metrology Department,8500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
104.0,"Infrared ear thermometers 
(Resolution ³ 0.1 K)",35 ºC to 42 ºC,0.2 K,"3,750 first point + 1,000/next point",Comparison with PRT in liquid bath blackbody ,11030 - 12544,Thermometry Metrology Department,3750.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
105.0,"Infrared ear thermometer 
(Resolution < 0.1 K)",35 ºC to 42 ºC,0.10 K,"3,750 first point + 1,000/next point",Comparison with PRT in liquid bath blackbody ,11030 - 12545,Thermometry Metrology Department,3750.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
102.0,Radiation Thermometer/Infrared Thermometer/Thermal imaging Camera,300 °C to 600 °C,0.45 K to 0.80 K,"7,500 first point+4,500/next point",By Comparison with PRT or Transfer Standard Radiation Thermometer,11030 - 12546,Thermometry Metrology Department,7500.0,Thermometry Metrology Department,0,"gauge, calibration, testing, machine, laser"
