ลำดับที่,วงเงินช่วยเหลือ,หน่วย,วันที่เกิดภัย,วันที่สิ้นสุดภัย,ที่เกิดภัยธรรมชาติ,ผู้ประสบภัย,ผู้ได้รับการช่วยเหลือ,อยู่ระหว่างดำเนินการ,หน่วยวัด,ที่มา
332,"24,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาโหนด,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
333,"180,250.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชัยบุรี,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
334,"15,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พญาขัน,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
335,"65,500.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.จองถนน,8,8,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
336,"31,275.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หานโพธิ์,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
337,"16,600.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกม่วง,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
338,"200,110.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แม่ขรี,199,199,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
339,"296,755.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตะโหมด,283,283,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
340,"226,865.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คลองใหญ่,179,179,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
341,"66,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แหลมโตนด,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
342,"80,500.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาขยาด,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
343,"16,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามิหรำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
344,"34,550.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปันแต,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
345,"15,736.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชะมวง,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
346,"17,215.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ทะเลน้อย,5,5,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
347,423,บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.อ่างทอง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
348,"35,132.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาย่า,20,20,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
349,"17,323.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาปู่,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
350,"388,448.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตะแพน,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
351,"80,000.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คูหาสวรรค์,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
352,"1,479.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาเจียก,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
353,"160,329.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชัยบุรี,49,49,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
354,"2,504.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คูหาสวรรค์,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
355,423,บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาเจียก,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
356,"3,339.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามิหรำ,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
357,"1,268.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกชะงาย,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
358,"18,436.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปรางหมู่,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
359,"2,649.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่าแค,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
360,"252,434.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ลำปำ,52,52,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
361,"137,084.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชัยบุรี,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
362,"5,905.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พญาขัน,24,24,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
363,845,บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาชัยสน,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
364,"14,376.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนขนุน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
365,"90,007.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.จองถนน,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
366,"41,407.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หานโพธิ์,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
367,845,บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกม่วง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
368,"4,225.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แม่ขรี,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
369,"15,210.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตะโหมด,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
370,"21,970.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คลองใหญ่,14,14,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
371,"10,563.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปันแต,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
372,"2,947.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โตนดด้วน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
373,"133,859.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.มะกอกเหนือ,20,20,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
374,"328,405.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พนางตุง,53,53,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
375,"11,830.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชะมวง,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
376,"11,408.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แพรกหา,11,11,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
377,"14,417.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปากพะยูน,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
378,"180,141.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ดอนประดู่,23,23,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
379,"55,777.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะนางคำ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
380,"9,295.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ฝาละมี,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
381,"63,760.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หารเทา,13,13,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
382,"5,915.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ป่าบอน,4,4,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
383,"1,690.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หนองธง,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
384,"14,246.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.วังใหม่,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
385,"7,605.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามะเดื่อ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
386,"57,679.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาปะขอ,17,17,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
387,"3,683.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ป่าพะยอม,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
388,"33,195.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ลานข่อย,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
389,"9,024.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะเต่า,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
390,"3,380.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.บ้านพร้าว,1,1,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
391,"41,181.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ทะเลน้อย,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
392,"3,803.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาขยาด,3,3,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
393,"26,195.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แหลมโตนด,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
394,"2,789.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.กงหรา,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
395,"14,511.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.คลองเฉลิม,9,9,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
396,"29,402.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ชะรัด,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
397,"76,065.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ทุ่งนารี,25,25,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
398,"25,044.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หนองธง,21,21,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
399,"43,387.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เขาชัยสน,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
400,"105,176.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกม่วง,36,36,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
401,"28,300.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ควนขนุน,23,23,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
402,"41,593.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.จองถนน,22,22,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
403,"79,784.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.หานโพธิ์,40,40,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
404,"171,724.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.โคกสัก,51,51,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
405,"114,666.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามะเดื่อ,31,31,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
406,"474,185.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาปะขอ,94,94,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
407,"30,040.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ป่าพะยอม,12,12,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
408,"5,281.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.บ้านพร้าว,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
409,"48,461.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.เกาะเต่า,23,23,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
410,"8,619.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ลานข่อย,6,6,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
411,"469,447.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.แม่ขรี,99,99,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
412,"233,398.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตะโหมด,119,119,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
413,"59,596.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.นาโหนด,18,18,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
414,"31,180.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ปรางหมู่,7,7,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
415,"15,627.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ท่ามิหรำ,2,2,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
416,"427,993.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.พญาขัน,80,80,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
417,"55,230.00",บาท,25-พ.ย.-63,3-ธ.ค.-63,ต.ตำนาน,10,10,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
418,"198,392.00",บาท,25-ก.ค.-62,12-ก.ย.-62,ต.ควนขนุน,44,44,0,ราย,สำนักงานเกษตรและสหกรณ์จังหวัด
