จังหวัด,เกษตรกรผู้เลี้ยงสัตว์ทั้งหมด(ครัวเรือน),โคพื้นเมืองเพศผู้(ตัว),โคพื้นเมืองเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพื้นเมืองเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงโคพื้นเมือง(ครัวเรือน),โคพันธุ์และโคลูกผสมเพศผู้(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย แรกเกิดถึงโคสาว(ตัว),โคพันธุ์และโคลูกผสมเพศเมีย ตั้งท้องแรกขึ้นไป(ตัว),รวมโคพันธุ์และโคลูกผสม(ตัว),เกษตรกรผู้เลี้ยงโคพันธุ์และโคลูกผสม(ครัวเรือน),โคขุน(ตัว),เกษตรกรผู้เลี้ยงโคขุน(ครัวเรือน),โคเนื้อทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคเนื้อทั้งหมด(ครัวเรือน),โคนมเพศผู้(ตัว),โคนมเพศเมียแรกเกิดถึง 1 ปี (ตัว),โคนมเพศเมีย1 ปี ถึงตั้งท้องแรก (ตัว),โคนมเพศเมียกำลังรีดนม(ตัว),โคนมเพศเมียแห้งนม(ตัว),รวมโคนมเพศเมีย(ตัว),รวมโคนมทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงโคนมทั้งหมด(ครัวเรือน),กระบือเพศผู้(ตัว),กระบือเพศเมียแรกเกิดถึงกระบือสาว(ตัว),กระบือเพศเมียตั้งท้องแรกขึ้นไป(ตัว),กระบือเพศเมียทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงกระบือ(ครัวเรือน),สุกรพื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงสุกรพื้นเมือง(ครัวเรือน),สุกรพ่อพันธุ์(ตัว),สุกรแม่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงสุกรพันธุ์(ครัวเรือน),สุกรขุน(ตัว),ลูกสุกรขุน(ตัว),เกษตรกรผู้เลี้ยงสุกรขุน(ครัวเรือน),สุกรทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงสุกรทั้งหมด(ตัว),ไก่พื้นเมือง(ตัว),เกษตรกรผู้เลี้ยงไก่พื้นเมือง(ครัวเรือน),ไก่เนื้อ(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อ(ครัวเรือน),ไก่ไข่(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่(ครัวเรือน),ไก่เนื้อพันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่เนื้อพันธุ์(ครัวเรือน),ไก่ไข่พันธุ์(ตัว),เกษตรกรผู้เลี้ยงไก่ไข่พันธุ์(ครัวเรือน),ไก่ทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงไก่ทั้งหมด(ครัวเรือน),เป็ดเทศ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเทศ(ครัวเรือน),เป็ดเนื้อ(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อ(ครัวเรือน),เป็ดไข่(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่(ครัวเรือน),เป็ดเนื้อไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดเนื้อไล่ทุ่ง(ครัวเรือน),เป็ดไข่ไล่ทุ่ง(ตัว),เกษตรกรผู้เลี้ยงเป็ดไข่ไล่ทุ่ง(ครัวเรือน),เป็ดทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงเป็ดทั้งหมด(ครัวเรือน),แพะเนื้อเพศผู้(ตัว),แพะเนื้อเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะเนื้อ(ครัวเรือน),แพะนมเพศผู้(ตัว),แพะนมเพศเมีย(ตัว),เกษตรกรผู้เลี้ยงแพะนม(ครัวเรือน),แพะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแพะทั้งหมด(ครัวเรือน),แกะเพศผู้(ตัว),แกะเพศเมีย(ตัว),แกะทั้งหมด(ตัว),เกษตรกรผู้เลี้ยงแกะทั้งหมด(ครัวเรือน),ลา(ตัว),เกษตรกรผู้เลี้ยงลา(ครัวเรือน),ล่อ(ตัว),เกษตรกรผู้เลี้ยงล่อ(ครัวเรือน),ช้าง(ตัว),เกษตรกรผู้เลี้ยงช้าง(ครัวเรือน),ม้า(ตัว),เกษตรกรผู้เลี้ยงม้า(ครัวเรือน),ห่าน(ตัว),เกษตรกรผู้เลี้ยงห่าน(ครัวเรือน),ไก่งวง(ตัว),เกษตรกรผู้เลี้ยงไก่งวง(ครัวเรือน),นกกระทาพันธุ์เนื้อ(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์เนื้อ(ครัวเรือน),นกกระทาพันธุ์ไข่(ตัว),เกษตรกรผู้เลี้ยงนกกระทาพันธุ์ไข่(ครัวเรือน),นกกระจอกเทศ(ตัว),เกษตรกรผู้เลี้ยงนกกระจอกเทศ(ครัวเรือน),นกอีมู(ตัว),เกษตรกรผู้เลี้ยงนกอีมู(ครัวเรือน),กวาง(ตัว),เกษตรกรผู้เลี้ยงกวาง(ครัวเรือน),อูฐ(ตัว),เกษตรกรผู้เลี้ยงอูฐ(ครัวเรือน),หมูป่า(ตัว),เกษตรกรผู้เลี้ยงหมูป่า(ครัวเรือน),นก/สัตว์ปีกสวยงาม(ตัว),เกษตรกรผู้เลี้ยงนก/สัตว์ปีกสวยงาม(ครัวเรือน),สัตว์ปีกอื่นๆ(ตัว),เกษตรกรผู้เลี้ยงสัตว์ปีกอื่นๆ(ครัวเรือน)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
